WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost,
1,首航,2018/6/25 上午8:00,2018/7/27 上午8:00,1月 4天,2周 3天 4小时,48%,,,,,,,,,,,,,,
1.1,日常,2018/6/25 上午8:00,2018/7/27 上午8:00,1月 4天,2周 3天 4小时,48%,,,,,,,,,,,,,,
1.1.1,7-5,2018/6/25 上午8:00,2018/7/5 上午8:00,1周 3天,1周 1天,87%,,,,,,,,,,,,,,
1.1.1.1,"ETJD-1964 移动端订单填写页必读文件使用外链打开
",2018/6/25 上午8:00,2018/6/25 下午12:00,4小时,4小时,100%,,李畅,,,,,2018/6/25 上午8:00,,,,0,,,
1.1.1.2,ETJD-1917 选中状态时常用乘机人快速标签可点击删除,2018/6/26 上午8:00,2018/6/26 下午12:00,4小时,4小时,100%,,李畅,,,,,2018/6/26 上午8:00,,,,0,,,
1.1.1.3,"ETJD-1363 航班查询功能优化-城市输入
",2018/6/27 上午8:00,2018/6/27 下午5:00,1天,1天,100%,,李畅,,,,,2018/6/27 上午8:00,,,,0,,,
1.1.1.4,ETJD-1933 移动端网上值机页面优化,2018/6/28 上午8:00,2018/7/5 上午8:00,1周,4天,80%,,,,,,,2018/6/28 上午8:00,,,,,,,
1.1.1.4.1,开发,2018/6/28 上午8:00,2018/7/3 下午5:00,4天,4天,80%,,李畅,,,,,,,,,0,,,
1.1.1.4.2,发布,2018/7/5 上午8:00,2018/7/5 上午8:00,,,0%,,李畅,,,,,2018/7/5 上午8:00,,"1.1.1.1, 1.1.1.2, 1.1.1.3, 1.1.1.4.1",,,,,
1.1.2,ETJD-1984 7月会员日,2018/6/25 下午1:00,2018/6/25 下午5:00,4小时,4小时,100%,,李畅,,,,,2018/6/25 下午1:00,,,,0,,,
1.1.3,ETJD-1928 移动端网上值机增加电子登机牌,2018/6/28 上午8:00,2018/6/28 上午8:00,0秒,0秒,100%,,,,,,,2018/6/28 上午8:00,,,,,,,
1.1.3.1,发布,2018/6/28 上午8:00,2018/6/28 上午8:00,,,100%,,李畅,,,,,2018/6/28 上午8:00,,1.1.2,,,,,
1.1.4,ETJD-1945 PC改版二期,2018/7/4 上午8:00,2018/7/12 上午8:00,1周 1天,4天,20%,,,,,,,,,,,,,,
1.1.4.1,开发,2018/7/4 上午8:00,2018/7/9 下午5:00,4天,4天,20%,,李畅,,,,,2018/7/4 上午8:00,,,,0,,,
1.1.4.2,发布,2018/7/12 上午8:00,2018/7/12 上午8:00,,,0%,,李畅,,,,,2018/7/12 上午8:00,,1.1.4.1,,,,,
1.1.5,移动端延误证明功能,2018/7/19 上午8:00,2018/7/19 上午8:00,0秒,0秒,0%,,,,,,,2018/7/19 上午8:00,,,,,,,
1.1.5.1,发布,2018/7/19 上午8:00,2018/7/19 上午8:00,,,0%,,,,,,,,,,,,,,
1.1.6,ETJD-1843 商旅畅行产品,2018/7/18 上午8:00,2018/7/27 上午8:00,1周 2天,3天,0%,,,,,,,,,,,,,,
1.1.6.1,开发,2018/7/18 上午8:00,2018/7/20 下午5:00,3天,3天,0%,,李畅,,,,,2018/7/18 上午8:00,,,,0,,,
1.1.6.2,发布,2018/7/27 上午8:00,2018/7/27 上午8:00,,,0%,,李畅,,,,,2018/7/27 上午8:00,,1.1.6.1,,,,,
2,桂林航,2018/6/25 上午8:00,2018/7/19 上午8:00,3周 3天,4天,40%,,,,,,,,,,,,,,
2.1,网上值机,2018/6/25 上午8:00,2018/7/12 上午8:00,2周 3天,2天,80%,,,,,,,,,,,,,,
2.1.1,联调自测,2018/6/25 上午8:00,2018/6/26 下午5:00,2天,2天,80%,,王昌彬,,,,,2018/6/25 上午8:00,,,,0,,,
2.1.2,发布,2018/7/12 上午8:00,2018/7/12 上午8:00,,,0%,,王昌彬,,,,,2018/7/12 上午8:00,,2.1.1,,,,,
2.2,ETGT-224 航线网络图,2018/7/6 上午8:00,2018/7/19 上午8:00,1周 4天,2天,0%,,,,,,,,,,,,,,
2.2.1,开发,2018/7/6 上午8:00,2018/7/9 下午5:00,2天,2天,0%,,,,,,,2018/7/6 上午8:00,,,,0,,,
2.2.2,发布,2018/7/19 上午8:00,2018/7/19 上午8:00,,,0%,,,,,,,2018/7/19 上午8:00,,2.2.1,,,,,
3,前端基建,2018/6/28 上午8:00,2018/7/5 上午10:00,1周 2小时,4天,100%,,,,,,,2018/6/28 上午8:00,,,,,,,
3.1,甘特图2日历图,2018/6/28 上午8:00,2018/7/5 上午10:00,1周 2小时,4天,100%,,,,,,,2018/6/28 上午8:00,,,,,,,
3.1.1,开发,2018/6/28 上午8:00,2018/7/4 下午5:00,1周,4天,100%,,王昌彬,,,,,,,,,0,,,
3.1.1,开发 #1,2018/6/28 上午8:00,2018/6/29 下午5:00,2天,2天,100%,,王昌彬,,,,,,,,,,,,
3.1.1,开发 #2,2018/7/3 上午8:00,2018/7/4 下午5:00,2天,2天,100%,,王昌彬,,,,,2018/7/3 上午8:00,,,,,,,
3.1.2,测试,2018/7/5 上午8:00,2018/7/5 上午8:00,,,100%,,王昌彬,,,,,2018/7/5 上午8:00,,3.1.1,,,,,
3.1.3,发布,2018/7/5 上午10:00,2018/7/5 上午10:00,,,100%,,王昌彬,,,,,2018/7/5 上午10:00,,3.1.1,,,,,
